,m,month,year,ym,IS-M,IS-D,IS-3M,IL-3,IL-5,IL-10,SPR-C-G,SPR-10Y-M,SPR-10Y-D,SPR-10Y-3M,SPR-1D-M,EX,EXR,HWWA-E,HWWA-EX
638,2,2,2001,2001-02,4.99,4.26,4.76,4.56,4.67,4.78,1.24,-0.21,0.52,0.02,-0.73,90.5657,87.5662,50,61.8
639,3,3,2001,2001-03,4.78,4.26,4.71,4.4,4.53,4.67,1.4,-0.11,0.41,-0.04,-0.52,90.8543,87.7717,47.2,60.8
640,4,4,2001,2001-04,5.06,4.26,4.68,4.49,4.66,4.83,1.31,-0.23,0.57,0.15,-0.8,90.423,87.2554,49.7,60.8
641,5,5,2001,2001-05,4.65,4.26,4.64,4.64,4.86,5.05,1.26,0.4,0.79,0.41,-0.39,88.7343,85.4821,54.3,62.3
642,6,6,2001,2001-06,4.54,4.26,4.45,4.5,4.78,5,1.3,0.46,0.74,0.55,-0.28,87.3799,84.1163,54.5,62.4
643,7,7,2001,2001-07,4.51,4.26,4.47,4.49,4.81,5.02,1.31,0.51,0.76,0.55,-0.25,88.6276,85.077,49.2,61.6
644,8,8,2001,2001-08,4.49,4.26,4.35,4.28,4.61,4.82,1.32,0.33,0.56,0.47,-0.23,91.3053,87.7104,48,57.8
645,9,9,2001,2001-09,3.99,3.62,3.98,4.07,4.5,4.81,1.53,0.82,1.19,0.83,-0.37,92.212,88.5746,48.1,55.5
646,10,10,2001,2001-10,3.97,3.62,3.6,3.8,4.27,4.6,2.3,0.63,0.98,1,-0.35,92.259,88.558,40.3,54.4
647,11,11,2001,2001-11,3.51,3.62,3.39,3.76,4.18,4.45,2.34,0.94,0.83,1.06,0.11,90.6797,86.8911,36.7,56.7
648,12,12,2001,2001-12,3.34,3.62,3.34,4.08,4.48,4.74,2.42,1.4,1.12,1.4,0.28,91.1715,87.4056,36.3,56.2
649,1,1,2002,2002-01,3.29,2.57,3.34,4.27,4.67,4.86,2.13,1.57,2.29,1.52,-0.72,90.8661,87.1809,38,57.5
650,2,2,2002,2002-02,3.28,2.57,3.36,4.39,4.74,4.92,2.01,1.64,2.35,1.56,-0.71,90.1191,86.2555,39.3,58.7
651,3,3,2002,2002-03,3.26,2.57,3.39,4.66,5,5.16,1.24,1.9,2.59,1.77,-0.69,90.2729,86.4776,45.7,60.2
652,4,4,2002,2002-04,3.32,2.57,3.41,4.65,4.98,5.15,1.25,1.83,2.58,1.74,-0.75,90.603,86.7276,48.5,59.5
653,5,5,2002,2002-05,3.31,2.57,3.47,4.69,4.99,5.17,1.21,1.86,2.6,1.7,-0.74,92.7147,88.7691,46.1,57.6
654,6,6,2002,2002-06,3.35,2.57,3.46,4.5,4.81,5.02,1.4,1.67,2.45,1.56,-0.78,95.5439,91.3644,42.5,57
655,7,7,2002,2002-07,3.3,2.47,3.41,4.27,4.66,4.87,1.53,1.57,2.4,1.46,-0.83,97.6426,93.3152,42.5,56.8
656,8,8,2002,2002-08,3.29,2.47,3.35,3.96,4.35,4.59,1.84,1.3,2.12,1.24,-0.82,97.0826,92.7676,44,57.3
657,9,9,2002,2002-09,3.32,2.47,3.31,3.67,4.09,4.38,2.23,1.06,1.91,1.07,-0.85,97.3761,93.0399,47.2,58.4
658,10,10,2002,2002-10,3.3,2.47,3.26,3.65,4.12,4.46,2.35,1.16,1.99,1.2,-0.83,97.8208,93.3804,45.8,58.2
659,11,11,2002,2002-11,3.3,2.47,3.12,3.61,4.09,4.48,2.49,1.18,2.01,1.36,-0.83,98.6062,93.8295,40.4,57.7
660,12,12,2002,2002-12,3.09,2.47,2.94,3.43,3.93,4.33,2.47,1.24,1.86,1.39,-0.62,99.6118,94.866,44.2,56.8
661,1,1,2003,2003-01,2.79,1.97,2.83,3.22,3.78,4.18,2.48,1.39,2.21,1.35,-0.82,102.5529,97.5773,46.4,55.3
662,2,2,2003,2003-02,2.76,1.97,2.69,3,3.53,3.95,3.1,1.19,1.98,1.26,-0.79,103.9941,98.8702,48.8,56.3
663,3,3,2003,2003-03,2.75,1.97,2.53,3.03,3.57,4,3.47,1.25,2.03,1.47,-0.78,104.6929,99.5218,45,55.3
664,4,4,2003,2003-04,2.56,1.97,2.53,3.19,3.7,4.15,2.31,1.59,2.18,1.62,-0.59,104.8392,99.5864,37.6,54.9
665,5,5,2003,2003-05,2.56,1.97,2.4,2.84,3.34,3.82,2.06,1.26,1.85,1.42,-0.59,108.6797,103.3523,36.2,52.7
666,6,6,2003,2003-06,2.21,1.97,2.15,2.59,3.11,3.62,1.91,1.41,1.65,1.47,-0.24,109.1043,103.8986,38.3,51.1
667,7,7,2003,2003-07,2.08,1.22,2.13,2.92,3.53,3.97,1.58,1.89,2.75,1.84,-0.86,107.5305,102.3268,41,51.7
668,8,8,2003,2003-08,2.1,1.22,2.14,3.3,3.78,4.13,1.1,2.03,2.91,1.99,-0.88,106.2522,101.2151,43.6,53.6
669,9,9,2003,2003-09,2.02,1.22,2.15,3.25,3.77,4.17,1.25,2.15,2.95,2.02,-0.8,106.2095,101.1291,39.8,54.7
670,10,10,2003,2003-10,2.01,1.22,2.14,3.3,3.83,4.22,1.1,2.21,3,2.08,-0.79,108.3607,103.0726,41.1,55.8
671,11,11,2003,2003-11,1.97,1.22,2.16,3.43,3.96,4.35,0.97,2.38,3.13,2.19,-0.75,108.4045,102.9586,41,57.2
672,12,12,2003,2003-12,2.06,1.22,2.15,3.36,3.89,4.29,0.94,2.23,3.07,2.14,-0.84,111.675,105.877,40.4,55.9
673,1,1,2004,2004-01,2.02,1.14,2.09,3.17,3.76,4.17,0.93,2.15,3.03,2.08,-0.88,112.945,107.0051,40.9,57.6
674,2,2,2004,2004-02,2.03,1.14,2.07,3.09,3.67,4.11,0.91,2.08,2.97,2.04,-0.89,112.8279,106.9869,40.4,60.2
675,3,3,2004,2004-03,2.01,1.14,2.03,2.85,3.44,3.91,0.95,1.9,2.77,1.88,-0.87,110.5676,104.7858,45.1,65.4
676,4,4,2004,2004-04,2.08,1.14,2.05,3.04,3.62,4.1,0.76,2.02,2.96,2.05,-0.94,108.7503,103.0335,46.8,67.1
677,5,5,2004,2004-05,2.02,1.14,2.09,3.25,3.8,4.25,0.75,2.23,3.11,2.16,-0.88,109.9821,104.2386,52.1,64.6
678,6,6,2004,2004-06,2.03,1.14,2.11,3.37,3.89,4.31,0.63,2.28,3.17,2.2,-0.89,110.0334,104.2108,50.4,62.6
679,7,7,2004,2004-07,2.07,1.13,2.12,3.33,3.87,4.24,0.57,2.17,3.11,2.12,-0.94,110.4974,104.5242,52.4,61.1
680,8,8,2004,2004-08,2.04,1.13,2.11,3.19,3.7,4.08,0.51,2.04,2.95,1.97,-0.91,110.3345,104.3991,57.6,58.9
681,9,9,2004,2004-09,2.05,1.13,2.12,3.17,3.64,4.02,1.33,1.97,2.89,1.9,-0.92,110.6759,104.5176,58.8,58.8
682,10,10,2004,2004-10,2.11,1.13,2.15,3.01,3.5,3.89,1.29,1.78,2.76,1.74,-0.98,111.9041,105.5967,65.3,57.8
683,11,11,2004,2004-11,2.09,1.13,2.17,2.9,3.38,3.78,1.1,1.69,2.65,1.61,-0.96,113.4227,106.8276,57.4,57.5
684,12,12,2004,2004-12,2.05,1.13,2.17,2.78,3.2,3.58,1.12,1.53,2.45,1.41,-0.92,114.6383,108.0314,50.2,56
685,1,1,2005,2005-01,2.08,1.21,2.15,2.84,3.23,3.56,1.06,1.48,2.35,1.41,-0.87,113.0787,106.3584,55.6,58.7
686,2,2,2005,2005-02,2.06,1.21,2.14,2.86,3.23,3.54,1.04,1.48,2.33,1.4,-0.85,111.9556,105.222,58.1,60.9
687,3,3,2005,2005-03,2.06,1.21,2.14,2.94,3.35,3.7,1.16,1.64,2.49,1.56,-0.85,112.8949,106.2155,66.2,63.4
688,4,4,2005,2005-04,2.08,1.21,2.14,2.75,3.13,3.48,1.15,1.4,2.27,1.34,-0.87,111.9874,105.237,67.9,63
689,5,5,2005,2005-05,2.07,1.21,2.13,2.58,2.96,3.3,1.22,1.23,2.09,1.17,-0.86,110.7749,104.1168,65,61.5
690,6,6,2005,2005-06,2.06,1.21,2.11,2.4,2.78,3.13,1.2,1.07,1.92,1.02,-0.85,107.7003,101.3761,75,63.9
691,7,7,2005,2005-07,2.07,1.17,2.12,2.51,2.88,3.2,0.99,1.13,2.03,1.08,-0.9,107.8559,101.3885,79,65.1
692,8,8,2005,2005-08,2.06,1.17,2.13,2.57,2.91,3.23,0.93,1.17,2.06,1.1,-0.89,108.4158,101.9861,84.7,64.7
693,9,9,2005,2005-09,2.09,1.17,2.14,2.47,2.77,3.07,0.83,0.98,1.9,0.93,-0.92,107.8787,101.4762,83.2,64.6
694,10,10,2005,2005-10,2.07,1.17,2.2,2.73,2.98,3.24,0.77,1.17,2.07,1.04,-0.9,107.3617,100.8292,78.8,66
695,11,11,2005,2005-11,2.09,1.17,2.36,2.98,3.22,3.45,0.72,1.36,2.28,1.09,-0.92,106.388,99.7555,75.9,68.5
696,12,12,2005,2005-12,2.28,1.17,2.47,2.98,3.16,3.34,0.72,1.06,2.17,0.87,-1.11,106.4261,99.7163,77.8,71.3
697,1,1,2006,2006-01,2.33,1.37,2.51,3.03,3.19,3.32,0.67,0.99,1.95,0.81,-0.96,107.0597,100.1756,84.2,73.4
698,2,2,2006,2006-02,2.35,1.37,2.6,3.17,3.34,3.47,0.63,1.12,2.1,0.87,-0.98,105.9796,99.1992,82.2,76.2
699,3,3,2006,2006-03,2.52,1.37,2.72,3.38,3.53,3.64,0.62,1.12,2.27,0.92,-1.15,106.8379,100.0204,84.6,75.9
700,4,4,2006,2006-04,2.63,1.37,2.79,3.58,3.77,3.89,0.72,1.26,2.52,1.1,-1.26,108.0234,101.1365,93.2,79.7
701,5,5,2006,2006-05,2.58,1.37,2.89,3.62,3.81,3.96,0.68,1.38,2.59,1.07,-1.21,109.9497,102.8661,88.6,83.3
702,6,6,2006,2006-06,2.7,1.37,2.99,3.66,3.83,3.96,0.64,1.26,2.59,0.97,-1.33,110.7081,103.4749,88.3,79.7
703,7,7,2006,2006-07,2.81,1.95,3.1,3.75,3.9,4.01,0.65,1.2,2.06,0.91,-0.86,110.7582,103.6296,94.2,82.7
704,8,8,2006,2006-08,2.97,1.95,3.23,3.68,3.79,3.88,0.52,0.91,1.93,0.65,-1.02,110.7622,103.4034,92.6,81.3
705,9,9,2006,2006-09,3.04,1.95,3.34,3.63,3.69,3.75,0.47,0.71,1.8,0.41,-1.09,110.5634,103.0278,79,81.2
706,10,10,2006,2006-10,3.28,1.95,3.5,3.69,3.74,3.79,0.51,0.51,1.84,0.29,-1.33,109.7908,102.2954,74.8,85.6
707,11,11,2006,2006-11,3.33,1.95,3.6,3.67,3.69,3.71,0.53,0.38,1.76,0.11,-1.38,110.4731,102.7782,74.4,85.3
708,12,12,2006,2006-12,3.5,1.95,3.68,3.75,3.77,3.77,0.55,0.27,1.82,0.09,-1.55,111.5537,103.5287,77,84.3
709,1,1,2007,2007-01,3.56,2.7,3.75,3.96,3.99,4.02,0.54,0.46,1.32,0.27,-0.86,110.7377,102.8243,67.8,85.3
710,2,2,2007,2007-02,3.57,2.7,3.82,3.98,4.03,4.05,0.52,0.48,1.35,0.23,-0.87,111.0288,102.9802,72.1,86.8
711,3,3,2007,2007-03,3.69,2.7,3.89,3.9,3.92,3.94,0.5,0.25,1.24,0.05,-0.99,111.8662,103.5873,76.8,88.1
712,4,4,2007,2007-04,3.82,2.7,3.98,4.11,4.14,4.15,0.49,0.33,1.45,0.17,-1.12,112.62,104.3825,81.2,89.9
713,5,5,2007,2007-05,3.79,2.7,4.07,4.26,4.27,4.28,0.44,0.49,1.58,0.21,-1.09,112.3607,104.0162,80.9,90.5
714,6,6,2007,2007-06,3.96,2.7,4.15,4.52,4.55,4.56,0.38,0.6,1.86,0.41,-1.26,111.8289,103.36,86.7,90.1
715,7,7,2007,2007-07,4.06,3.19,4.22,4.5,4.51,4.5,1,0.44,1.31,0.28,-0.87,112.434,103.8037,91.5,89.2
716,8,8,2007,2007-08,4.05,3.19,4.54,4.2,4.25,4.3,1.3,0.25,1.11,-0.24,-0.86,112.401,103.4705,85.2,86.4
717,9,9,2007,2007-09,4.03,3.19,4.74,4.09,4.16,4.22,1.51,0.19,1.03,-0.52,-0.84,113.2635,104.2599,90.4,87.1
718,10,10,2007,2007-10,3.94,3.19,4.69,4.15,4.21,4.28,1.35,0.34,1.09,-0.41,-0.75,114.0599,104.809,95.2,87.6
719,11,11,2007,2007-11,4.02,3.19,4.64,3.92,4,4.09,1.38,0.07,0.9,-0.55,-0.83,115.896,106.3189,103.7,84.2
720,12,12,2007,2007-12,3.88,3.19,4.85,4.02,4.11,4.21,1.48,0.33,1.02,-0.64,-0.69,115.4661,105.7586,102.8,85.3
721,1,1,2008,2008-01,4.02,3.32,4.48,3.72,3.87,4.03,1.78,0.01,0.71,-0.45,-0.7,116.0458,106.173,103.2,93.5
722,2,2,2008,2008-02,4.03,3.32,4.36,3.45,3.68,3.95,2.05,-0.08,0.63,-0.41,-0.71,115.7968,105.4162,107.9,100.1
723,3,3,2008,2008-03,4.09,3.32,4.6,3.39,3.57,3.8,2.11,-0.29,0.48,-0.8,-0.77,119.1048,108.6,111,99.2
724,4,4,2008,2008-04,3.99,3.32,4.78,3.79,3.9,4.04,2.11,0.05,0.72,-0.74,-0.67,120.2981,109.3358,114.5,97.7
725,5,5,2008,2008-05,4.01,3.32,4.86,4.05,4.1,4.2,1.85,0.19,0.88,-0.66,-0.69,119.3932,108.6768,131.4,99
726,6,6,2008,2008-06,4.01,3.32,4.94,4.58,4.55,4.52,1.72,0.51,1.2,-0.42,-0.69,119.2192,108.2698,141.5,102
727,7,7,2008,2008-07,4.19,3.19,4.96,4.51,4.5,4.49,1.89,0.3,1.3,-0.47,-1,119.3297,108.1885,141.4,100.3
728,8,8,2008,2008-08,4.3,3.19,4.97,4.09,4.11,4.2,2.01,-0.1,1.01,-0.77,-1.11,116.5354,105.3553,127.3,96.1
729,9,9,2008,2008-09,4.27,3.19,5.02,3.9,3.99,4.09,2.5,-0.18,0.9,-0.93,-1.08,115.1042,104.0259,115.5,91.2
730,10,10,2008,2008-10,3.82,3.19,5.11,3.38,3.69,3.88,4.22,0.06,0.69,-1.23,-0.63,112.7668,101.7368,90.3,78.9
731,11,11,2008,2008-11,3.15,3.19,4.24,2.77,3.17,3.56,4.43,0.41,0.37,-0.68,0.04,111.8214,100.9303,70.8,75.5
732,12,12,2008,2008-12,2.49,3.19,3.29,2.48,2.78,3.05,4.42,0.56,-0.14,-0.24,0.7,117.6031,106.0999,53.1,67.4
733,1,1,2009,2009-01,1.81,1.62,2.46,2.24,2.75,3.07,4.26,1.26,1.45,0.61,-0.19,117.7463,106.1538,56.9,69.1
734,2,2,2009,2009-02,1.26,1.62,1.94,2.08,2.73,3.13,4.12,1.87,1.51,1.19,0.36,117.1051,105.529,57.5,69.6
735,3,3,2009,2009-03,1.06,1.62,1.64,2.03,2.64,3.02,4.47,1.96,1.4,1.38,0.56,119.6106,107.2937,59.6,68.4
736,4,4,2009,2009-04,0.84,1.62,1.42,2.17,2.73,3.13,4.13,2.29,1.51,1.71,0.78,118.2635,106.0968,63.7,72.3
737,5,5,2009,2009-05,0.78,1.62,1.28,2.23,2.9,3.37,3.97,2.59,1.75,2.09,0.84,118.6754,106.3769,69.7,74.6
738,6,6,2009,2009-06,0.7,1.62,1.23,2.36,3.04,3.47,3.84,2.77,1.85,2.24,0.92,120.0746,107.5118,80.5,76.2
739,7,7,2009,2009-07,0.36,0.12,0.97,2.26,2.92,3.34,2.94,2.98,3.22,2.37,-0.24,119.8117,106.8705,75.8,74.1
740,8,8,2009,2009-08,0.35,0.12,0.86,2.32,2.9,3.31,2.38,2.96,3.19,2.45,-0.23,119.9005,106.9179,83.5,78.6
741,9,9,2009,2009-09,0.36,0.12,0.77,2.16,2.8,3.26,2.64,2.9,3.14,2.49,-0.24,121.201,107.7741,76.1,74.9
742,10,10,2009,2009-10,0.36,0.12,0.74,2.18,2.74,3.21,2.52,2.85,3.09,2.47,-0.24,122.1418,108.5215,80.7,75.8
743,11,11,2009,2009-11,0.36,0.12,0.72,2.11,2.72,3.22,2.29,2.86,3.1,2.5,-0.24,122.0396,108.2798,84.4,77.9
744,12,12,2009,2009-12,0.35,0.12,0.71,1.99,2.63,3.14,2.81,2.79,3.02,2.43,-0.23,120.8804,107.0062,83.8,82.8
745,1,1,2010,2010-01,0.34,0.12,0.68,2.09,2.79,3.26,2.31,2.92,3.14,2.58,-0.22,118.3423,104.6003,89,85.7
746,2,2,2010,2010-02,0.34,0.12,0.66,1.89,2.63,3.17,2.51,2.83,3.05,2.51,-0.22,115.4647,101.8556,89.6,85.7
747,3,3,2010,2010-03,0.35,0.12,0.64,1.79,2.55,3.1,2.41,2.75,2.98,2.46,-0.23,114.2792,101.0169,96.5,89.5
748,4,4,2010,2010-04,0.35,0.12,0.64,1.75,2.5,3.06,2.55,2.71,2.94,2.42,-0.23,112.5816,99.488,105.1,97.2
749,5,5,2010,2010-05,0.34,0.12,0.69,1.3,2.1,2.73,3,2.39,2.61,2.04,-0.22,109.1362,96.4385,100.6,98.9
750,6,6,2010,2010-06,0.35,0.12,0.73,1.12,1.91,2.54,3.28,2.19,2.42,1.81,-0.23,107.0179,94.5993,102.6,100.4
751,7,7,2010,2010-07,0.48,0.12,0.85,1.35,2.1,2.62,2.65,2.14,2.5,1.77,-0.36,109.2414,96.4941,98.8,101.2
752,8,8,2010,2010-08,0.43,0.12,0.9,1.17,1.86,2.35,2.63,1.92,2.23,1.45,-0.31,108.9049,96.0529,99.3,104.8
753,9,9,2010,2010-09,0.45,0.12,0.88,1.17,1.81,2.3,2.53,1.85,2.18,1.42,-0.33,109.3228,96.1867,99,106.6
754,10,10,2010,2010-10,0.7,0.12,1,1.31,1.87,2.35,2.19,1.65,2.23,1.35,-0.58,112.9894,99.1831,98.9,104.1
755,11,11,2010,2010-11,0.59,0.12,1.04,1.43,2.03,2.53,2.17,1.94,2.41,1.49,-0.47,111.7569,97.8472,104.3,108.1
756,12,12,2010,2010-12,0.5,0.12,1.02,1.58,2.34,2.91,2.22,2.41,2.79,1.89,-0.38,109.4173,95.7536,115.7,116.1
757,1,1,2011,2011-01,0.66,0.12,1.02,1.81,2.56,3.02,2.09,2.36,2.9,2,-0.54,109.3641,95.6691,121.1,121.4
758,2,2,2011,2011-02,0.71,0.12,1.09,2.1,2.77,3.2,1.9,2.49,3.08,2.11,-0.59,110.6572,96.6948,126.5,122.8
759,3,3,2011,2011-03,0.66,0.12,1.18,2.23,2.83,3.21,1.67,2.55,3.09,2.03,-0.54,112.4096,98.2958,135.5,117.7
760,4,4,2011,2011-04,0.97,0.12,1.32,2.45,2.98,3.34,1.65,2.37,3.22,2.02,-0.85,114.1018,99.8261,141,117.8
761,5,5,2011,2011-05,1.03,0.12,1.43,2.24,2.71,3.06,1.96,2.03,2.94,1.63,-0.91,113.3145,98.7709,132.5,115.7
762,6,6,2011,2011-06,1.12,0.12,1.49,1.98,2.47,2.89,2.22,1.77,2.77,1.4,-1,113.5117,98.8999,130.5,114
763,7,7,2011,2011-07,1.01,0.37,1.6,1.84,2.36,2.74,2.36,1.73,2.37,1.14,-0.64,112.4287,97.8398,135.1,115
764,8,8,2011,2011-08,0.91,0.37,1.55,1.22,1.78,2.21,3.18,1.3,1.84,0.66,-0.54,112.9933,98.2079,127.5,112.9
765,9,9,2011,2011-09,1.01,0.37,1.54,0.87,1.38,1.83,3.73,0.82,1.46,0.29,-0.64,112.1239,97.5559,135.7,114.1
766,10,10,2011,2011-10,0.96,0.37,1.58,1.01,1.54,2,3.59,1.04,1.63,0.42,-0.59,112.6419,97.9752,132,105.1
767,11,11,2011,2011-11,0.79,0.37,1.48,0.79,1.36,1.87,3.61,1.08,1.5,0.39,-0.42,112.14,97.4564,134.5,103
768,12,12,2011,2011-12,0.63,0.37,1.43,0.68,1.34,1.93,3.92,1.3,1.56,0.5,-0.26,110.3074,95.8695,134.9,103.7
769,1,1,2012,2012-01,0.38,0.12,1.22,0.6,1.26,1.82,3.7,1.44,1.7,0.6,-0.26,108.0663,93.8164,141.2,109.4
770,2,2,2012,2012-02,0.37,0.12,1.05,0.63,1.26,1.85,3.37,1.48,1.73,0.8,-0.25,108.4345,94.3221,148.4,109.3
771,3,3,2012,2012-03,0.36,0.12,0.86,0.61,1.25,1.83,3.39,1.47,1.71,0.97,-0.24,108.717,94.4613,155,110.5
772,4,4,2012,2012-04,0.35,0.12,0.74,0.48,1.05,1.62,3.42,1.27,1.5,0.88,-0.23,108.5048,94.3383,148.6,110.2
773,5,5,2012,2012-05,0.34,0.12,0.68,0.31,0.81,1.34,3.49,1,1.22,0.66,-0.22,107.3258,93.1638,140.5,110.1
774,6,6,2012,2012-06,0.33,0.12,0.66,0.31,0.8,1.3,3.19,0.97,1.18,0.64,-0.21,106.6472,92.5896,124.5,108.9
775,7,7,2012,2012-07,0.18,0.12,0.5,0.21,0.73,1.24,2.79,1.06,1.12,0.74,-0.06,104.342,90.7543,136.5,116.8
776,8,8,2012,2012-08,0.11,0.12,0.33,0.23,0.8,1.34,3.37,1.23,1.22,1.01,0.01,104.4531,90.7087,149.1,114.2
777,9,9,2012,2012-09,0.1,0.12,0.25,0.3,0.91,1.49,3.6,1.39,1.37,1.24,0.02,106.5965,92.6133,143.2,111.9
778,10,10,2012,2012-10,0.09,0.12,0.21,0.31,0.89,1.47,3.49,1.38,1.35,1.26,0.03,107.2943,93.0057,139.9,108.7
779,11,11,2012,2012-11,0.08,0.12,0.19,0.19,0.75,1.34,3.41,1.26,1.22,1.15,0.04,106.7255,92.3885,138.5,107
780,12,12,2012,2012-12,0.07,0.12,0.19,0.15,0.69,1.3,3.15,1.23,1.18,1.11,0.05,108.2785,93.6622,136.2,106.5
781,1,1,2013,2013-01,0.07,-0.13,0.2,0.4,0.95,1.51,3,1.44,1.64,1.31,-0.2,109.88,94.9545,138.6,106.2
782,2,2,2013,2013-02,0.07,-0.13,0.22,0.42,0.94,1.54,2.88,1.47,1.67,1.32,-0.2,111.1481,95.8305,141.7,106.9
783,3,3,2013,2013-03,0.07,-0.13,0.21,0.23,0.72,1.35,2.87,1.28,1.48,1.14,-0.2,109.4888,94.5491,136.3,107.7
784,4,4,2013,2013-04,0.08,-0.13,0.21,0.18,0.58,1.2,2.82,1.12,1.33,0.99,-0.21,109.7601,94.4878,127.8,104
785,5,5,2013,2013-05,0.08,-0.13,0.2,0.22,0.66,1.29,2.68,1.21,1.42,1.09,-0.21,109.985,94.7245,129,103.3
786,6,6,2013,2013-06,0.09,-0.13,0.21,0.42,0.89,1.53,2.78,1.44,1.66,1.32,-0.22,111.9736,96.2972,127.1,100.7
787,7,7,2013,2013-07,0.09,-0.38,0.22,0.43,0.95,1.56,2.97,1.47,1.94,1.34,-0.47,112.0151,96.3011,133.7,99.9
788,8,8,2013,2013-08,0.08,-0.38,0.23,0.57,1.13,1.73,2.93,1.65,2.11,1.5,-0.46,113.4169,97.4151,135.3,98.1
789,9,9,2013,2013-09,0.08,-0.38,0.22,0.62,1.23,1.89,3.28,1.81,2.27,1.67,-0.46,113.3234,97.1439,135.7,97.3
790,10,10,2013,2013-10,0.09,-0.38,0.23,0.51,1.08,1.76,3.29,1.67,2.14,1.53,-0.47,114.2002,97.5351,130.1,95.3
791,11,11,2013,2013-11,0.1,-0.38,0.22,0.4,0.97,1.68,3.2,1.58,2.06,1.46,-0.48,114.1633,97.3552,130.3,96.3
792,12,12,2013,2013-12,0.17,-0.38,0.27,0.53,1.12,1.8,2.97,1.63,2.18,1.53,-0.55,115.7604,98.691,131.5,96.6
793,1,1,2014,2014-01,0.2,-0.63,0.29,0.57,1.18,1.76,2.83,1.56,2.39,1.47,-0.83,115.8801,98.6646,129.4,96
794,2,2,2014,2014-02,0.16,-0.63,0.29,0.4,0.95,1.56,3,1.4,2.19,1.27,-0.79,116.2872,98.9458,129.3,97.2
795,3,3,2014,2014-03,0.19,-0.63,0.31,0.39,0.91,1.51,3.01,1.32,2.14,1.2,-0.82,117.4588,99.7036,126,96.9
796,4,4,2014,2014-04,0.25,-0.63,0.33,0.4,0.88,1.46,2.9,1.21,2.09,1.13,-0.88,116.9782,99.0258,126.2,99.3
797,5,5,2014,2014-05,0.25,-0.63,0.32,0.27,0.72,1.33,2.93,1.08,1.96,1.01,-0.88,116.0508,97.8977,129.2,98.9
798,6,6,2014,2014-06,0.08,-0.63,0.24,0.2,0.63,1.26,2.8,1.18,1.89,1.02,-0.71,115.0776,97.0424,133,97.4
799,7,7,2014,2014-07,0.04,-0.73,0.21,0.18,0.6,1.11,2.62,1.07,1.84,0.9,-0.77,114.6027,96.5321,127.7,95.6
800,8,8,2014,2014-08,0.02,-0.73,0.19,0.12,0.48,0.95,2.58,0.93,1.68,0.76,-0.75,114.0009,96.0382,123.6,96.3
801,9,9,2014,2014-09,0.01,-0.73,0.1,0.06,0.44,0.92,2.64,0.91,1.65,0.82,-0.74,112.3858,94.6249,122.2,95
802,10,10,2014,2014-10,0,-0.73,0.08,0.03,0.35,0.79,2.57,0.79,1.52,0.71,-0.73,111.9072,93.9067,111.9,95.5
803,11,11,2014,2014-11,-0.01,-0.73,0.08,0.02,0.29,0.72,2.48,0.73,1.45,0.64,-0.72,112.1368,93.9564,103.1,97.5
804,12,12,2014,2014-12,-0.03,-0.73,0.08,0,0.22,0.59,2.4,0.62,1.32,0.51,-0.7,113.2362,94.44,84.3,96
805,1,1,2015,2015-01,-0.05,-0.83,0.06,-0.08,0.09,0.39,2.38,0.44,1.22,0.33,-0.78,NA,90.8586,71.4,97.7
806,2,2,2015,2015-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,3,3,2015,2015-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
808,4,4,2015,2015-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809,5,5,2015,2015-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
810,6,6,2015,2015-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,7,7,2015,2015-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
812,8,8,2015,2015-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813,9,9,2015,2015-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814,10,10,2015,2015-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815,11,11,2015,2015-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816,12,12,2015,2015-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
