"",BBEX3.D.KRW.USD.CA.AB.000,BBEX3.D.KRW.USD.CA.AB.000_FLAGS
1995-08-25,780.20,
1995-08-26,779.70,
1995-08-27,.,No value available
1995-08-28,779.70,
1995-08-29,777.80,
1995-08-30,777.40,
1995-08-31,780.20,
1995-09-01,778.80,
1995-09-02,.,No value available
1995-09-03,.,No value available
1995-09-04,775.70,
1995-09-05,773.30,
1995-09-06,772.90,
1995-09-07,774.20,
1995-09-08,.,No value available
1995-09-09,.,No value available
1995-09-10,.,No value available
1995-09-11,773.50,
1995-09-12,774.90,
1995-09-13,776.70,
1995-09-14,778.30,
1995-09-15,780.20,
1995-09-16,779.10,
1995-09-17,.,No value available
1995-09-18,779.10,
1995-09-19,780.90,
1995-09-20,778.80,
1995-09-21,778.40,
1995-09-22,774.30,
1995-09-23,772.80,
1995-09-24,.,No value available
1995-09-25,772.80,
1995-09-26,772.50,
1995-09-27,772.00,
1995-09-28,771.30,
1995-09-29,771.50,
1995-09-30,.,No value available
1995-10-01,.,No value available
1995-10-02,771.40,
1995-10-03,.,No value available
1995-10-04,771.00,
1995-10-05,771.20,
1995-10-06,770.80,
1995-10-07,771.80,
1995-10-08,.,No value available
1995-10-09,771.80,
1995-10-10,770.60,
1995-10-11,771.40,
1995-10-12,.,No value available
1995-10-13,771.20,
1995-10-14,771.60,
1995-10-15,.,No value available
1995-10-16,771.60,
1995-10-17,771.70,
1995-10-18,770.80,
1995-10-19,769.70,
1995-10-20,.,No value available
1995-10-21,770.50,
1995-10-22,.,No value available
1995-10-23,770.50,
1995-10-24,769.00,
1995-10-25,768.90,
1995-10-26,768.50,
1995-10-27,769.20,
1995-10-28,769.00,
1995-10-29,.,No value available
1995-10-30,769.00,
1995-10-31,768.50,
1995-11-01,768.70,
1995-11-02,768.80,
1995-11-03,772.20,
1995-11-04,775.20,
1995-11-05,.,No value available
1995-11-06,775.20,
1995-11-07,774.20,
1995-11-08,774.80,
1995-11-09,774.10,
1995-11-10,772.60,
1995-11-11,.,No value available
1995-11-12,.,No value available
1995-11-13,771.50,
1995-11-14,772.00,
1995-11-15,772.30,
1995-11-16,772.00,
1995-11-17,771.80,
1995-11-18,772.50,
1995-11-19,.,No value available
1995-11-20,772.50,
1995-11-21,775.40,
1995-11-22,772.90,
1995-11-23,771.60,
1995-11-24,771.50,
1995-11-25,771.70,
1995-11-26,.,No value available
1995-11-27,771.70,
1995-11-28,772.00,
1995-11-29,771.80,
1995-11-30,772.20,
1995-12-01,773.20,
1995-12-02,773.70,
1995-12-03,.,No value available
1995-12-04,773.70,
1995-12-05,772.40,
1995-12-06,772.70,
1995-12-07,772.70,
1995-12-08,772.90,
1995-12-09,772.80,
1995-12-10,.,No value available
1995-12-11,772.80,
1995-12-12,772.40,
1995-12-13,772.90,
1995-12-14,772.90,
1995-12-15,773.40,
1995-12-16,.,No value available
1995-12-17,.,No value available
1995-12-18,774.50,
1995-12-19,774.50,
1995-12-20,774.40,
1995-12-21,774.80,
1995-12-22,775.10,
1995-12-23,775.60,
1995-12-24,.,No value available
1995-12-25,775.60,
1995-12-26,775.60,
1995-12-27,775.70,
1995-12-28,774.90,
1995-12-29,776.20,
1995-12-30,777.70,
1995-12-31,.,No value available
1996-01-01,.,No value available
1996-01-02,.,No value available
1996-01-03,777.70,
1996-01-04,779.90,
1996-01-05,789.10,
1996-01-06,790.60,
1996-01-07,.,No value available
1996-01-08,790.60,
1996-01-09,792.60,
1996-01-10,791.20,
1996-01-11,790.00,
1996-01-12,793.40,
1996-01-13,793.70,
1996-01-14,.,No value available
1996-01-15,793.70,
1996-01-16,794.30,
1996-01-17,795.50,
1996-01-18,794.60,
1996-01-19,792.90,
1996-01-20,792.70,
1996-01-21,.,No value available
1996-01-22,792.70,
1996-01-23,792.30,
1996-01-24,791.40,
1996-01-25,789.30,
1996-01-26,790.60,
1996-01-27,788.20,
1996-01-28,.,No value available
1996-01-29,788.20,
1996-01-30,786.50,
1996-01-31,787.40,
1996-02-01,789.00,
1996-02-02,787.20,
1996-02-03,785.90,
1996-02-04,.,No value available
1996-02-05,785.90,
1996-02-06,782.30,
1996-02-07,780.90,
1996-02-08,782.70,
1996-02-09,784.10,
1996-02-10,784.10,
1996-02-11,.,No value available
1996-02-12,784.10,
1996-02-13,781.80,
1996-02-14,781.70,
1996-02-15,781.70,
1996-02-16,781.00,
1996-02-17,782.30,
1996-02-18,.,No value available
1996-02-19,.,No value available
1996-02-20,.,No value available
1996-02-21,782.30,
1996-02-22,782.70,
1996-02-23,782.20,
1996-02-24,.,No value available
1996-02-25,.,No value available
1996-02-26,783.10,
1996-02-27,783.30,
1996-02-28,782.50,
1996-02-29,783.80,
1996-03-01,.,No value available
1996-03-02,786.00,
1996-03-03,.,No value available
1996-03-04,786.00,
1996-03-05,784.00,
1996-03-06,782.50,
1996-03-07,781.90,
1996-03-08,781.20,
1996-03-09,.,No value available
1996-03-10,.,No value available
1996-03-11,781.00,
1996-03-12,782.20,
1996-03-13,783.60,
1996-03-14,783.30,
1996-03-15,783.60,
1996-03-16,783.80,
1996-03-17,.,No value available
1996-03-18,783.80,
1996-03-19,784.90,
1996-03-20,784.80,
1996-03-21,785.30,
1996-03-22,786.70,
1996-03-23,.,No value available
1996-03-24,.,No value available
1996-03-25,787.30,
1996-03-26,785.60,
1996-03-27,786.00,
1996-03-28,785.50,
1996-03-29,785.60,
1996-03-30,785.80,
1996-03-31,.,No value available
1996-04-01,785.80,
1996-04-02,785.20,
1996-04-03,783.70,
1996-04-04,783.50,
1996-04-05,.,No value available
1996-04-06,.,No value available
1996-04-07,.,No value available
1996-04-08,782.60,
1996-04-09,783.20,
1996-04-10,783.50,
1996-04-11,.,No value available
1996-04-12,784.90,
1996-04-13,785.80,
1996-04-14,.,No value available
1996-04-15,785.80,
1996-04-16,785.60,
1996-04-17,785.20,
1996-04-18,784.80,
1996-04-19,783.60,
1996-04-20,.,No value available
1996-04-21,.,No value available
1996-04-22,782.20,
1996-04-23,782.00,
1996-04-24,782.10,
1996-04-25,782.00,
1996-04-26,782.30,
1996-04-27,.,No value available
1996-04-28,.,No value available
1996-04-29,782.20,
1996-04-30,781.80,
1996-05-01,.,No value available
1996-05-02,781.80,
1996-05-03,781.80,
1996-05-04,781.40,
1996-05-05,.,No value available
1996-05-06,781.40,
1996-05-07,781.20,
1996-05-08,781.30,
1996-05-09,781.30,
1996-05-10,781.30,
1996-05-11,781.30,
1996-05-12,.,No value available
1996-05-13,781.30,
1996-05-14,781.30,
1996-05-15,781.20,
1996-05-16,781.30,
1996-05-17,781.80,
1996-05-18,782.60,
1996-05-19,.,No value available
1996-05-20,782.60,
1996-05-21,782.90,
1996-05-22,783.20,
1996-05-23,784.00,
1996-05-24,.,No value available
1996-05-25,784.70,
1996-05-26,.,No value available
1996-05-27,.,No value available
1996-05-28,785.70,
1996-05-29,788.90,
1996-05-30,791.60,
1996-05-31,791.00,
1996-06-01,791.80,
1996-06-02,.,No value available
1996-06-03,791.80,
1996-06-04,789.60,
1996-06-05,789.70,
1996-06-06,.,No value available
1996-06-07,789.80,
1996-06-08,.,No value available
1996-06-09,.,No value available
1996-06-10,790.00,
1996-06-11,792.90,
1996-06-12,794.80,
1996-06-13,797.90,
1996-06-14,799.90,
1996-06-15,799.70,
1996-06-16,.,No value available
1996-06-17,799.70,
1996-06-18,800.40,
1996-06-19,802.00,
1996-06-20,804.20,
1996-06-21,814.20,
1996-06-22,.,No value available
1996-06-23,.,No value available
1996-06-24,815.80,
1996-06-25,814.10,
1996-06-26,814.20,
1996-06-27,812.60,
1996-06-28,812.20,
1996-06-29,813.80,
1996-06-30,.,No value available
1996-07-01,813.80,
1996-07-02,813.10,
1996-07-03,814.40,
1996-07-04,811.70,
1996-07-05,812.50,
1996-07-06,816.00,
1996-07-07,.,No value available
1996-07-08,816.00,
1996-07-09,817.00,
1996-07-10,815.60,
1996-07-11,813.90,
1996-07-12,815.20,
1996-07-13,816.10,
1996-07-14,.,No value available
1996-07-15,816.10,
1996-07-16,817.40,
1996-07-17,.,No value available
1996-07-18,817.00,
1996-07-19,816.30,
1996-07-20,817.20,
1996-07-21,.,No value available
1996-07-22,817.20,
1996-07-23,816.90,
1996-07-24,816.40,
1996-07-25,817.10,
1996-07-26,817.40,
1996-07-27,.,No value available
1996-07-28,.,No value available
1996-07-29,817.00,
1996-07-30,817.30,
1996-07-31,816.50,
1996-08-01,816.10,
1996-08-02,816.00,
1996-08-03,.,No value available
1996-08-04,.,No value available
1996-08-05,816.80,
1996-08-06,817.50,
1996-08-07,817.40,
1996-08-08,817.50,
1996-08-09,817.40,
1996-08-10,817.40,
1996-08-11,.,No value available
1996-08-12,817.40,
1996-08-13,817.60,
1996-08-14,818.50,
1996-08-15,.,No value available
1996-08-16,822.70,
1996-08-17,.,No value available
1996-08-18,.,No value available
1996-08-19,824.90,
1996-08-20,821.70,
1996-08-21,822.70,
1996-08-22,821.80,
1996-08-23,821.90,
1996-08-24,.,No value available
1996-08-25,.,No value available
1996-08-26,821.50,
1996-08-27,820.90,
1996-08-28,821.90,
1996-08-29,822.40,
1996-08-30,822.40,
1996-08-31,.,No value available
1996-09-01,.,No value available
1996-09-02,822.60,
1996-09-03,822.50,
1996-09-04,822.30,
1996-09-05,822.10,
1996-09-06,821.30,
1996-09-07,.,No value available
1996-09-08,.,No value available
1996-09-09,821.80,
1996-09-10,822.50,
1996-09-11,823.20,
1996-09-12,824.30,
1996-09-13,825.50,
1996-09-14,.,No value available
1996-09-15,.,No value available
1996-09-16,826.00,
1996-09-17,830.60,
1996-09-18,831.90,
1996-09-19,831.80,
1996-09-20,829.10,
1996-09-21,.,No value available
1996-09-22,.,No value available
1996-09-23,825.80,
1996-09-24,824.40,
1996-09-25,823.80,
1996-09-26,.,No value available
1996-09-27,.,No value available
1996-09-28,.,No value available
1996-09-29,.,No value available
1996-09-30,827.20,
1996-10-01,826.20,
1996-10-02,825.00,
1996-10-03,.,No value available
1996-10-04,826.20,
1996-10-05,.,No value available
1996-10-06,.,No value available
1996-10-07,829.30,
1996-10-08,831.00,
1996-10-09,831.50,
1996-10-10,832.50,
1996-10-11,831.30,
1996-10-12,.,No value available
1996-10-13,.,No value available
1996-10-14,832.00,
1996-10-15,832.80,
1996-10-16,831.90,
1996-10-17,831.40,
1996-10-18,829.80,
1996-10-19,.,No value available
1996-10-20,.,No value available
1996-10-21,830.60,
1996-10-22,831.10,
1996-10-23,831.20,
1996-10-24,830.20,
1996-10-25,831.20,
1996-10-26,.,No value available
1996-10-27,.,No value available
1996-10-28,832.30,
1996-10-29,836.30,
1996-10-30,836.90,
1996-10-31,834.60,
1996-11-01,829.30,
1996-11-02,.,No value available
1996-11-03,.,No value available
1996-11-04,828.30,
1996-11-05,828.70,
1996-11-06,831.80,
1996-11-07,831.30,
1996-11-08,832.30,
1996-11-09,.,No value available
1996-11-10,.,No value available
1996-11-11,832.80,
1996-11-12,831.50,
1996-11-13,831.80,
1996-11-14,832.80,
1996-11-15,832.40,
1996-11-16,.,No value available
1996-11-17,.,No value available
1996-11-18,831.20,
1996-11-19,830.70,
1996-11-20,831.30,
1996-11-21,832.20,
1996-11-22,833.10,
1996-11-23,.,No value available
1996-11-24,.,No value available
1996-11-25,831.80,
1996-11-26,831.80,
1996-11-27,832.30,
1996-11-28,833.20,
1996-11-29,832.10,
1996-11-30,.,No value available
1996-12-01,.,No value available
1996-12-02,832.00,
1996-12-03,832.80,
1996-12-04,834.50,
1996-12-05,834.00,
1996-12-06,833.30,
1996-12-07,.,No value available
1996-12-08,.,No value available
1996-12-09,834.30,
1996-12-10,836.60,
1996-12-11,838.30,
1996-12-12,842.60,
1996-12-13,846.00,
1996-12-14,.,No value available
1996-12-15,.,No value available
1996-12-16,846.20,
1996-12-17,847.30,
1996-12-18,846.40,
1996-12-19,847.00,
1996-12-20,847.10,
1996-12-21,.,No value available
1996-12-22,.,No value available
1996-12-23,847.40,
1996-12-24,847.60,
1996-12-25,.,No value available
1996-12-26,848.00,
1996-12-27,847.20,
1996-12-28,.,No value available
1996-12-29,.,No value available
1996-12-30,847.00,
1996-12-31,847.50,
1997-01-01,.,No value available
1997-01-02,.,No value available
1997-01-03,847.90,
1997-01-04,.,No value available
1997-01-05,.,No value available
1997-01-06,846.00,
1997-01-07,848.00,
1997-01-08,847.90,
1997-01-09,848.10,
1997-01-10,850.00,
1997-01-11,.,No value available
1997-01-12,.,No value available
1997-01-13,850.10,
1997-01-14,850.80,
1997-01-15,851.60,
1997-01-16,852.40,
1997-01-17,852.30,
1997-01-18,.,No value available
1997-01-19,.,No value available
1997-01-20,852.10,
1997-01-21,852.90,
1997-01-22,855.50,
1997-01-23,857.00,
1997-01-24,857.50,
1997-01-25,.,No value available
1997-01-26,.,No value available
1997-01-27,857.50,
1997-01-28,858.40,
1997-01-29,860.90,
1997-01-30,863.00,
1997-01-31,864.70,
1997-02-01,.,No value available
1997-02-02,.,No value available
1997-02-03,867.90,
1997-02-04,870.20,
1997-02-05,872.00,
1997-02-06,873.30,
1997-02-07,.,No value available
1997-02-08,.,No value available
1997-02-09,.,No value available
1997-02-10,871.20,
1997-02-11,871.20,
1997-02-12,872.70,
1997-02-13,872.10,
1997-02-14,877.40,
1997-02-15,.,No value available
1997-02-16,.,No value available
1997-02-17,878.50,
1997-02-18,882.30,
1997-02-19,882.20,
1997-02-20,.,No value available
1997-02-21,858.90,
1997-02-22,.,No value available
1997-02-23,.,No value available
1997-02-24,860.10,
1997-02-25,867.80,
1997-02-26,865.80,
1997-02-27,865.80,
1997-02-28,867.30,
1997-03-01,.,No value available
1997-03-02,.,No value available
1997-03-03,867.60,
1997-03-04,867.00,
1997-03-05,867.90,
1997-03-06,870.90,
1997-03-07,872.40,
1997-03-08,.,No value available
1997-03-09,.,No value available
1997-03-10,872.90,
1997-03-11,878.00,
1997-03-12,881.20,
1997-03-13,881.30,
1997-03-14,881.30,
1997-03-15,.,No value available
1997-03-16,.,No value available
1997-03-17,882.50,
1997-03-18,883.30,
1997-03-19,886.10,
1997-03-20,887.90,
1997-03-21,887.00,
1997-03-22,.,No value available
1997-03-23,.,No value available
1997-03-24,887.80,
1997-03-25,890.80,
1997-03-26,892.20,
1997-03-27,893.00,
1997-03-28,901.50,
1997-03-29,900.60,
1997-03-30,.,No value available
1997-03-31,900.60,
1997-04-01,896.30,
1997-04-02,899.70,
1997-04-03,899.50,
1997-04-04,898.90,
1997-04-05,.,No value available
1997-04-06,.,No value available
1997-04-07,897.10,
1997-04-08,898.50,
1997-04-09,897.70,
1997-04-10,898.70,
1997-04-11,897.50,
1997-04-12,.,No value available
1997-04-13,.,No value available
1997-04-14,894.30,
1997-04-15,897.90,
1997-04-16,898.90,
1997-04-17,897.80,
1997-04-18,896.90,
1997-04-19,.,No value available
1997-04-20,.,No value available
1997-04-21,897.20,
1997-04-22,896.60,
1997-04-23,895.60,
1997-04-24,896.10,
1997-04-25,895.70,
1997-04-26,.,No value available
1997-04-27,.,No value available
1997-04-28,896.10,
1997-04-29,896.20,
1997-04-30,895.60,
1997-05-01,.,No value available
1997-05-02,895.70,
1997-05-03,.,No value available
1997-05-04,.,No value available
1997-05-05,.,No value available
1997-05-06,895.40,
1997-05-07,897.50,
1997-05-08,898.70,
1997-05-09,897.60,
1997-05-10,.,No value available
1997-05-11,.,No value available
1997-05-12,895.70,
1997-05-13,894.10,
1997-05-14,.,No value available
1997-05-15,896.60,
1997-05-16,894.70,
1997-05-17,.,No value available
1997-05-18,.,No value available
1997-05-19,895.70,
1997-05-20,894.80,
1997-05-21,894.10,
1997-05-22,894.40,
1997-05-23,894.90,
1997-05-24,.,No value available
1997-05-25,.,No value available
1997-05-26,894.50,
1997-05-27,894.80,
1997-05-28,895.90,
1997-05-29,896.10,
1997-05-30,895.30,
1997-05-31,.,No value available
1997-06-01,.,No value available
1997-06-02,895.30,
1997-06-03,894.70,
1997-06-04,894.50,
1997-06-05,894.50,
1997-06-06,.,No value available
1997-06-07,.,No value available
1997-06-08,.,No value available
1997-06-09,894.40,
1997-06-10,893.50,
1997-06-11,894.60,
1997-06-12,894.10,
1997-06-13,894.40,
1997-06-14,.,No value available
1997-06-15,.,No value available
1997-06-16,893.20,
1997-06-17,892.00,
1997-06-18,892.00,
1997-06-19,892.00,
1997-06-20,891.90,
1997-06-21,.,No value available
1997-06-22,.,No value available
1997-06-23,891.90,
1997-06-24,891.80,
1997-06-25,891.20,
1997-06-26,891.20,
1997-06-27,891.80,
1997-06-28,.,No value available
1997-06-29,.,No value available
1997-06-30,891.60,
1997-07-01,891.30,
1997-07-02,891.60,
1997-07-03,890.90,
1997-07-04,890.70,
1997-07-05,.,No value available
1997-07-06,.,No value available
1997-07-07,890.60,
1997-07-08,890.70,
1997-07-09,891.20,
1997-07-10,891.50,
1997-07-11,892.50,
1997-07-12,.,No value available
1997-07-13,.,No value available
1997-07-14,893.50,
1997-07-15,894.90,
1997-07-16,894.30,
1997-07-17,.,No value available
1997-07-18,896.30,
1997-07-19,.,No value available
1997-07-20,.,No value available
1997-07-21,898.10,
1997-07-22,896.90,
1997-07-23,897.00,
1997-07-24,897.20,
1997-07-25,896.70,
1997-07-26,.,No value available
1997-07-27,.,No value available
1997-07-28,894.90,
1997-07-29,895.40,
1997-07-30,895.20,
1997-07-31,895.50,
1997-08-01,894.30,
1997-08-02,.,No value available
1997-08-03,.,No value available
1997-08-04,892.80,
1997-08-05,892.30,
1997-08-06,893.50,
1997-08-07,896.10,
1997-08-08,896.30,
1997-08-09,.,No value available
1997-08-10,.,No value available
1997-08-11,897.30,
1997-08-12,896.50,
1997-08-13,897.90,
1997-08-14,897.80,
1997-08-15,.,No value available
1997-08-16,.,No value available
1997-08-17,.,No value available
1997-08-18,898.10,
1997-08-19,901.00,
1997-08-20,902.80,
1997-08-21,902.10,
1997-08-22,902.00,
1997-08-23,.,No value available
1997-08-24,.,No value available
1997-08-25,902.80,
1997-08-26,907.00,
1997-08-27,908.20,
1997-08-28,905.70,
1997-08-29,904.40,
1997-08-30,.,No value available
1997-08-31,.,No value available
1997-09-01,905.60,
1997-09-02,907.80,
1997-09-03,907.60,
1997-09-04,908.10,
1997-09-05,909.20,
1997-09-06,.,No value available
1997-09-07,.,No value available
1997-09-08,911.00,
1997-09-09,911.50,
1997-09-10,912.00,
1997-09-11,912.30,
1997-09-12,912.00,
1997-09-13,.,No value available
1997-09-14,.,No value available
1997-09-15,.,No value available
1997-09-16,.,No value available
1997-09-17,.,No value available
1997-09-18,912.30,
1997-09-19,912.90,
1997-09-20,.,No value available
1997-09-21,.,No value available
1997-09-22,916.10,
1997-09-23,916.20,
1997-09-24,917.40,
1997-09-25,917.30,
1997-09-26,918.20,
1997-09-27,.,No value available
1997-09-28,.,No value available
1997-09-29,918.30,
1997-09-30,918.40,
1997-10-01,918.00,
1997-10-02,916.60,
1997-10-03,.,No value available
1997-10-04,.,No value available
1997-10-05,.,No value available
1997-10-06,916.50,
1997-10-07,917.80,
1997-10-08,918.00,
1997-10-09,918.40,
1997-10-10,918.30,
1997-10-11,.,No value available
1997-10-12,.,No value available
1997-10-13,917.90,
1997-10-14,917.90,
1997-10-15,917.30,
1997-10-16,917.90,
1997-10-17,918.30,
1997-10-18,.,No value available
1997-10-19,.,No value available
1997-10-20,918.40,
1997-10-21,927.60,
1997-10-22,926.30,
1997-10-23,920.60,
1997-10-24,933.20,
1997-10-25,.,No value available
1997-10-26,.,No value available
1997-10-27,945.70,
1997-10-28,943.70,
1997-10-29,965.80,
1997-10-30,988.60,
1997-10-31,968.90,
1997-11-01,.,No value available
1997-11-02,.,No value available
1997-11-03,968.40,
1997-11-04,971.00,
1997-11-05,969.70,
1997-11-06,978.90,
1997-11-07,985.80,
1997-11-08,.,No value available
1997-11-09,.,No value available
1997-11-10,1004.90,
1997-11-11,995.90,
1997-11-12,993.80,
1997-11-13,992.20,
1997-11-14,991.30,
1997-11-15,.,No value available
1997-11-16,.,No value available
1997-11-17,990.40,
1997-11-18,1018.80,
1997-11-19,1041.70,
1997-11-20,1148.10,
1997-11-21,1122.00,
1997-11-22,.,No value available
1997-11-23,.,No value available
1997-11-24,1132.20,
1997-11-25,1147.50,
1997-11-26,1139.80,
1997-11-27,1136.00,
1997-11-28,1203.60,
1997-11-29,.,No value available
1997-11-30,.,No value available
1997-12-01,1187.00,
1997-12-02,1269.90,
1997-12-03,1280.10,
1997-12-04,1173.00,
1997-12-05,1244.40,
1997-12-06,.,No value available
1997-12-07,.,No value available
1997-12-08,1361.70,
1997-12-09,1473.90,
1997-12-10,1596.30,
1997-12-11,1753.30,
1997-12-12,1802.50,
1997-12-13,.,No value available
1997-12-14,.,No value available
1997-12-15,1693.20,
1997-12-16,1459.50,
1997-12-17,1585.50,
1997-12-18,1554.00,
1997-12-19,1701.00,
1997-12-20,.,No value available
1997-12-21,.,No value available
1997-12-22,1774.50,
1997-12-23,2047.50,
1997-12-24,1900.50,
1997-12-25,.,No value available
1997-12-26,1522.50,
1997-12-27,.,No value available
1997-12-28,.,No value available
1997-12-29,1491.00,
1997-12-30,1627.50,
1997-12-31,1764.00,
1998-01-01,.,No value available
1998-01-02,.,No value available
1998-01-03,.,No value available
1998-01-04,.,No value available
1998-01-05,1827.00,
1998-01-06,1827.00,
1998-01-07,1827.00,
1998-01-08,1869.00,
1998-01-09,1890.00,
1998-01-10,.,No value available
1998-01-11,.,No value available
1998-01-12,1806.00,
1998-01-13,1837.50,
1998-01-14,1732.50,
1998-01-15,1669.50,
1998-01-16,1680.00,
1998-01-17,.,No value available
1998-01-18,.,No value available
1998-01-19,1617.10,
1998-01-20,1678.90,
1998-01-21,1751.00,
1998-01-22,1797.30,
1998-01-23,1792.20,
1998-01-24,.,No value available
1998-01-25,.,No value available
1998-01-26,1730.40,
1998-01-27,.,No value available
