ifo Institut,File Nr. 1 / 1,12 Reihen pro Jahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurzname:,C0000000:GU+§BDU,C0000000:GU=§BDU,C0000000:GU-§BDU,C0000000:GUS§BDU,C0000000:GUS§BDS,C0000000:QV+§BDU,C0000000:QV=§BDU,C0000000:QV-§BDU,C0000000:QVS§BDU,C0000000:QVS§BDS,C0000000:LU+§BDU,C0000000:LU=§BDU,C0000000:LU-§BDU,C0000000:LUS§BDU,C0000000:LUS§BDS,C0000000:AV+§BDU,C0000000:AV=§BDU,C0000000:AV-§BDU,C0000000:AVS§BDU,C0000000:AVS§BDS,C0000000:BV+§BDU,C0000000:BV=§BDU,C0000000:BV-§BDU,C0000000:BVS§BDU,C0000000:BVS§BDS,C0000000:BU+§BDU,C0000000:BU=§BDU,C0000000:BU-§BDU,C0000000:BUS§BDU,C0000000:BUS§BDS,C0000000:PV+§BDU,C0000000:PV=§BDU,C0000000:PV-§BDU,C0000000:PVS§BDU,C0000000:PVS§BDS,C0000000:QE+§BDU,C0000000:QE=§BDU,C0000000:QE-§BDU,C0000000:QES§BDU,C0000000:QES§BDS,C0000000:PW+§BDU,C0000000:PW=§BDU,C0000000:PW-§BDU,C0000000:PWS§BDU,C0000000:PWS§BDS,C0000000:XE+§BDU,C0000000:XE=§BDU,C0000000:XE-§BDU,C0000000:XES§BDU,C0000000:XES§BDS,C0000000:XU+§BDU,C0000000:XU=§BDU,C0000000:XU-§BDU,C0000000:XUS§BDU,C0000000:XUS§BDS,C0000000:GE+§BDU,C0000000:GE=§BDU,C0000000:GE-§BDU,C0000000:GES§BDU,C0000000:GES§BDS,C0000000:BE+§BDU,C0000000:BE=§BDU,C0000000:BE-§BDU,C0000000:BES§BDU,C0000000:BES§BDS,C0000000:KLD§BDU,C0000000:KLD§BDS
 09/2006,,,,,34.2,,,,,8.5,,,,,2.0,,,,,13.9,,,,,11.6,,,,,11.8,,,,,8.1,,,,,13.1,,,,,13.4,,,,,17.4,,,,,6.4,,,,,8.7,,,,,-3.9,,21.1
 10/2006,,,,,35.7,,,,,11.2,,,,,0.0,,,,,15.7,,,,,12.7,,,,,14.9,,,,,9.0,,,,,14.1,,,,,12.2,,,,,18.4,,,,,8.7,,,,,10.7,,,,,-2.6,,22.8
 11/2006,,,,,38.3,,,,,14.1,,,,,-0.7,,,,,18.9,,,,,15.4,,,,,17.3,,,,,12.6,,,,,20.8,,,,,11.4,,,,,20.6,,,,,10.2,,,,,12.1,,,,,-0.6,,24.9
 12/2006,,,,,43.6,,,,,19.2,,,,,-1.6,,,,,22.8,,,,,21.1,,,,,19.0,,,,,9.8,,,,,11.9,,,,,12.0,,,,,19.5,,,,,11.8,,,,,14.9,,,,,0.4,,28.8
 01/2007,,,,,41.0,,,,,13.8,,,,,-0.2,,,,,17.3,,,,,13.4,,,,,15.8,,,,,11.6,,,,,13.9,,,,,16.1,,,,,17.6,,,,,10.0,,,,,12.2,,,,,3.8,,26.2
 02/2007,,,,,40.7,,,,,14.3,,,,,0.5,,,,,16.2,,,,,11.9,,,,,14.3,,,,,10.2,,,,,10.2,,,,,10.6,,,,,15.3,,,,,8.6,,,,,10.0,,,,,1.2,,24.8
 03/2007,,,,,42.5,,,,,12.5,,,,,1.9,,,,,14.5,,,,,10.9,,,,,12.9,,,,,7.7,,,,,12.7,,,,,11.1,,,,,15.9,,,,,8.5,,,,,11.9,,,,,5.1,,26.7
 04/2007,,,,,41.7,,,,,11.0,,,,,2.3,,,,,12.1,,,,,11.6,,,,,14.0,,,,,8.1,,,,,14.1,,,,,8.1,,,,,15.3,,,,,7.8,,,,,12.9,,,,,2.0,,26.8
 05/2007,,,,,42.1,,,,,12.3,,,,,3.4,,,,,13.5,,,,,12.1,,,,,12.0,,,,,8.9,,,,,12.8,,,,,8.7,,,,,16.4,,,,,6.7,,,,,13.2,,,,,3.6,,27.2
 06/2007,,,,,39.1,,,,,10.2,,,,,2.3,,,,,11.7,,,,,12.7,,,,,12.0,,,,,7.0,,,,,15.0,,,,,12.6,,,,,16.7,,,,,8.7,,,,,9.3,,,,,3.8,,23.7
 07/2007,,,,,40.4,,,,,8.7,,,,,2.6,,,,,6.6,,,,,9.8,,,,,11.4,,,,,5.6,,,,,12.3,,,,,11.6,,,,,15.1,,,,,8.6,,,,,10.8,,,,,4.8,,25.1
 08/2007,,,,,39.6,,,,,8.5,,,,,2.6,,,,,6.5,,,,,7.5,,,,,11.3,,,,,5.2,,,,,10.8,,,,,14.0,,,,,14.7,,,,,8.9,,,,,9.0,,,,,4.2,,23.8
 09/2007,,,,,36.2,,,,,6.1,,,,,4.0,,,,,3.6,,,,,4.8,,,,,8.8,,,,,7.1,,,,,13.0,,,,,12.3,,,,,16.5,,,,,8.4,,,,,8.8,,,,,4.2,,22.1
 10/2007,,,,,38.6,,,,,4.1,,,,,3.9,,,,,4.1,,,,,2.5,,,,,9.0,,,,,7.0,,,,,10.2,,,,,12.4,,,,,14.4,,,,,7.8,,,,,6.9,,,,,0.3,,22.2
 11/2007,,,,,38.4,,,,,7.7,,,,,4.3,,,,,7.0,,,,,6.3,,,,,8.4,,,,,6.7,,,,,15.9,,,,,13.6,,,,,15.7,,,,,6.3,,,,,7.4,,,,,5.4,,22.4
 12/2007,,,,,36.6,,,,,4.2,,,,,5.3,,,,,-1.0,,,,,4.2,,,,,9.2,,,,,8.9,,,,,14.3,,,,,15.2,,,,,15.7,,,,,8.0,,,,,5.2,,,,,6.7,,20.3
 01/2008,,,,,37.9,,,,,8.9,,,,,5.8,,,,,4.7,,,,,3.9,,,,,6.9,,,,,7.8,,,,,11.0,,,,,17.1,,,,,13.7,,,,,4.0,,,,,3.3,,,,,2.8,,19.9
 02/2008,,,,,34.7,,,,,5.3,,,,,4.5,,,,,3.7,,,,,4.8,,,,,6.3,,,,,10.1,,,,,9.0,,,,,11.7,,,,,12.3,,,,,4.6,,,,,0.7,,,,,1.2,,17.0
 03/2008,,,,,38.5,,,,,6.0,,,,,4.9,,,,,2.8,,,,,5.4,,,,,10.0,,,,,8.7,,,,,9.6,,,,,12.0,,,,,13.8,,,,,7.5,,,,,-0.3,,,,,1.0,,18.3
 04/2008,,,,,35.5,,,,,5.5,,,,,5.3,,,,,-6.4,,,,,-4.6,,,,,2.8,,,,,4.2,,,,,7.9,,,,,10.9,,,,,12.1,,,,,2.6,,,,,-4.5,,,,,0.0,,14.6
 05/2008,,,,,34.3,,,,,5.7,,,,,5.5,,,,,-0.7,,,,,-2.4,,,,,5.0,,,,,7.8,,,,,6.5,,,,,10.6,,,,,11.1,,,,,0.6,,,,,-2.1,,,,,0.4,,15.3
 06/2008,,,,,28.7,,,,,0.2,,,,,6.4,,,,,-9.5,,,,,-6.8,,,,,-0.1,,,,,8.0,,,,,-1.1,,,,,14.5,,,,,9.7,,,,,-1.5,,,,,-8.8,,,,,-4.2,,9.1
 07/2008,,,,,24.7,,,,,-5.2,,,,,6.6,,,,,-14.1,,,,,-15.2,,,,,-3.7,,,,,11.7,,,,,-3.6,,,,,17.6,,,,,7.2,,,,,-4.4,,,,,-17.2,,,,,-6.2,,2.7
 08/2008,,,,,17.6,,,,,-9.3,,,,,9.6,,,,,-20.5,,,,,-17.2,,,,,-5.8,,,,,11.1,,,,,-7.9,,,,,15.9,,,,,3.8,,,,,-7.2,,,,,-24.8,,,,,-10.6,,-4.8
 09/2008,,,,,10.1,,,,,-13.4,,,,,11.0,,,,,-24.5,,,,,-22.9,,,,,-12.2,,,,,6.1,,,,,-9.0,,,,,11.3,,,,,-1.5,,,,,-11.6,,,,,-26.0,,,,,-12.7,,-8.8
 10/2008,,,,,3.7,,,,,-17.2,,,,,15.8,,,,,-32.1,,,,,-29.8,,,,,-19.9,,,,,3.0,,,,,-21.7,,,,,5.5,,,,,-11.6,,,,,-21.1,,,,,-36.8,,,,,-17.6,,-17.7
 11/2008,,,,,-13.6,,,,,-31.2,,,,,21.3,,,,,-46.6,,,,,-41.6,,,,,-32.5,,,,,0.7,,,,,-35.0,,,,,-2.2,,,,,-22.1,,,,,-30.6,,,,,-47.4,,,,,-25.5,,-31.3
 12/2008,,,,,-29.2,,,,,-45.5,,,,,26.2,,,,,-55.4,,,,,-50.7,,,,,-42.7,,,,,-6.1,,,,,-42.3,,,,,-7.7,,,,,-32.1,,,,,-42.8,,,,,-52.5,,,,,-32.2,,-41.3
 01/2009,,,,,-35.0,,,,,-43.9,,,,,24.7,,,,,-45.4,,,,,-48.7,,,,,-49.0,,,,,-6.0,,,,,-39.9,,,,,-10.9,,,,,-31.3,,,,,-48.0,,,,,-45.8,,,,,-31.2,,-40.5
 02/2009,,,,,-44.9,,,,,-45.4,,,,,29.4,,,,,-48.2,,,,,-53.3,,,,,-56.7,,,,,-12.0,,,,,-40.2,,,,,-13.4,,,,,-31.8,,,,,-55.4,,,,,-44.6,,,,,-32.9,,-44.8
 03/2009,,,,,-49.5,,,,,-42.7,,,,,29.9,,,,,-44.0,,,,,-48.3,,,,,-59.0,,,,,-14.4,,,,,-35.5,,,,,-15.0,,,,,-32.3,,,,,-58.5,,,,,-39.4,,,,,-39.1,,-44.6
 04/2009,,,,,-51.3,,,,,-39.9,,,,,30.4,,,,,-30.3,,,,,-39.4,,,,,-59.4,,,,,-15.8,,,,,-27.4,,,,,-14.3,,,,,-25.0,,,,,-60.5,,,,,-28.8,,,,,-37.1,,-40.5
 05/2009,,,,,-52.8,,,,,-36.6,,,,,28.5,,,,,-24.0,,,,,-32.6,,,,,-60.0,,,,,-16.2,,,,,-21.8,,,,,-11.5,,,,,-18.2,,,,,-62.4,,,,,-23.3,,,,,-36.8,,-38.7
 06/2009,,,,,-52.0,,,,,-24.4,,,,,26.5,,,,,-12.4,,,,,-23.8,,,,,-60.2,,,,,-13.1,,,,,-13.2,,,,,-7.5,,,,,-13.4,,,,,-61.6,,,,,-13.8,,,,,-32.2,,-34.0
 07/2009,,,,,-47.6,,,,,-16.4,,,,,22.6,,,,,-0.9,,,,,-13.0,,,,,-59.7,,,,,-12.3,,,,,-9.5,,,,,-7.4,,,,,-6.7,,,,,-58.5,,,,,-6.1,,,,,-32.3,,-28.1
 08/2009,,,,,-44.4,,,,,-6.5,,,,,18.7,,,,,9.1,,,,,-2.4,,,,,-53.9,,,,,-10.0,,,,,-0.7,,,,,-3.2,,,,,0.9,,,,,-55.2,,,,,5.3,,,,,-27.5,,-21.3
 09/2009,,,,,-40.1,,,,,-3.5,,,,,16.0,,,,,11.9,,,,,2.3,,,,,-50.2,,,,,-9.9,,,,,-4.1,,,,,-7.7,,,,,4.6,,,,,-52.6,,,,,8.1,,,,,-30.6,,-17.6
 10/2009,,,,,-37.3,,,,,-2.5,,,,,12.7,,,,,8.0,,,,,-0.2,,,,,-48.9,,,,,-8.0,,,,,5.4,,,,,-3.3,,,,,8.5,,,,,-50.0,,,,,8.4,,,,,-25.5,,-15.9
 11/2009,,,,,-33.7,,,,,2.6,,,,,13.3,,,,,16.3,,,,,6.3,,,,,-45.4,,,,,-6.3,,,,,6.2,,,,,-5.1,,,,,9.0,,,,,-47.5,,,,,15.8,,,,,-22.5,,-10.5
 12/2009,,,,,-29.2,,,,,6.2,,,,,11.2,,,,,18.4,,,,,6.9,,,,,-42.6,,,,,-5.0,,,,,7.0,,,,,-8.6,,,,,10.1,,,,,-44.7,,,,,11.8,,,,,-19.1,,-9.8
 01/2010,,,,,-25.0,,,,,-0.5,,,,,9.7,,,,,16.7,,,,,6.9,,,,,-37.9,,,,,-7.9,,,,,7.2,,,,,-6.9,,,,,13.7,,,,,-40.0,,,,,12.1,,,,,-19.4,,-7.3
 02/2010,,,,,-23.0,,,,,6.7,,,,,8.4,,,,,17.4,,,,,9.6,,,,,-38.8,,,,,-11.0,,,,,10.6,,,,,-4.4,,,,,17.2,,,,,-36.4,,,,,14.1,,,,,-16.0,,-5.3
 03/2010,,,,,-13.5,,,,,13.2,,,,,4.0,,,,,23.6,,,,,15.5,,,,,-31.9,,,,,-5.5,,,,,14.5,,,,,-1.1,,,,,17.6,,,,,-31.5,,,,,14.4,,,,,-13.3,,0.0
 04/2010,,,,,-6.3,,,,,17.5,,,,,3.4,,,,,34.1,,,,,23.9,,,,,-23.6,,,,,-1.8,,,,,14.4,,,,,3.5,,,,,18.9,,,,,-23.7,,,,,18.9,,,,,-8.1,,5.9
 05/2010,,,,,0.2,,,,,17.1,,,,,2.5,,,,,28.5,,,,,22.2,,,,,-19.0,,,,,-1.2,,,,,18.9,,,,,8.4,,,,,21.5,,,,,-19.5,,,,,19.5,,,,,-5.0,,9.6
 06/2010,,,,,5.0,,,,,19.4,,,,,-0.4,,,,,28.1,,,,,21.0,,,,,-14.3,,,,,0.8,,,,,17.7,,,,,9.5,,,,,20.6,,,,,-16.7,,,,,19.2,,,,,-5.1,,12.0
 07/2010,,,,,15.4,,,,,21.3,,,,,-0.5,,,,,27.1,,,,,21.8,,,,,-8.8,,,,,3.8,,,,,16.5,,,,,8.7,,,,,21.3,,,,,-10.5,,,,,25.9,,,,,-1.3,,20.6
 08/2010,,,,,21.6,,,,,18.9,,,,,0.7,,,,,26.5,,,,,20.0,,,,,-4.0,,,,,5.0,,,,,16.5,,,,,9.8,,,,,19.0,,,,,-6.2,,,,,24.5,,,,,1.7,,23.0
 09/2010,,,,,23.0,,,,,20.3,,,,,-1.0,,,,,27.1,,,,,21.4,,,,,-2.1,,,,,5.1,,,,,20.0,,,,,11.3,,,,,21.6,,,,,-3.6,,,,,23.3,,,,,1.5,,23.1
 10/2010,,,,,25.7,,,,,23.2,,,,,0.7,,,,,30.1,,,,,26.4,,,,,1.2,,,,,6.0,,,,,19.5,,,,,9.8,,,,,21.6,,,,,-2.8,,,,,24.6,,,,,6.7,,25.2
 11/2010,,,,,29.3,,,,,19.2,,,,,-1.8,,,,,24.9,,,,,19.8,,,,,1.7,,,,,8.7,,,,,18.3,,,,,12.1,,,,,16.1,,,,,-0.4,,,,,26.0,,,,,6.6,,27.6
 12/2010,,,,,31.6,,,,,19.6,,,,,-2.9,,,,,26.1,,,,,20.6,,,,,4.5,,,,,9.0,,,,,21.3,,,,,14.5,,,,,19.2,,,,,0.5,,,,,22.0,,,,,7.9,,26.7
 01/2011,,,,,32.1,,,,,11.7,,,,,-1.3,,,,,20.6,,,,,18.3,,,,,5.2,,,,,12.2,,,,,17.3,,,,,17.1,,,,,21.6,,,,,4.1,,,,,20.1,,,,,8.5,,26.0
 02/2011,,,,,38.1,,,,,16.7,,,,,-1.6,,,,,17.9,,,,,18.5,,,,,8.2,,,,,15.9,,,,,19.3,,,,,22.5,,,,,21.2,,,,,3.5,,,,,18.9,,,,,10.0,,28.3
 03/2011,,,,,40.1,,,,,17.1,,,,,-4.0,,,,,22.3,,,,,20.7,,,,,10.1,,,,,15.5,,,,,16.4,,,,,21.9,,,,,20.5,,,,,6.5,,,,,16.2,,,,,13.5,,27.9
 04/2011,,,,,39.1,,,,,14.2,,,,,-3.6,,,,,18.0,,,,,17.2,,,,,11.3,,,,,17.1,,,,,16.3,,,,,24.3,,,,,19.7,,,,,8.2,,,,,13.6,,,,,13.8,,26.0
 05/2011,,,,,42.1,,,,,12.4,,,,,-5.4,,,,,12.8,,,,,11.4,,,,,10.0,,,,,16.8,,,,,16.7,,,,,20.3,,,,,18.3,,,,,6.5,,,,,12.3,,,,,11.9,,26.7
 06/2011,,,,,42.2,,,,,9.0,,,,,-3.3,,,,,7.1,,,,,7.7,,,,,11.6,,,,,16.7,,,,,13.7,,,,,16.5,,,,,14.5,,,,,5.2,,,,,11.2,,,,,10.9,,26.2
 07/2011,,,,,42.3,,,,,7.4,,,,,-2.5,,,,,5.8,,,,,4.9,,,,,10.2,,,,,13.8,,,,,10.6,,,,,14.7,,,,,10.4,,,,,5.5,,,,,7.0,,,,,10.8,,24.0
 08/2011,,,,,37.5,,,,,2.5,,,,,0.8,,,,,-1.0,,,,,-1.4,,,,,5.0,,,,,8.0,,,,,5.7,,,,,9.8,,,,,9.1,,,,,-0.2,,,,,-1.3,,,,,5.9,,17.2
 09/2011,,,,,32.2,,,,,3.5,,,,,3.0,,,,,-1.4,,,,,-2.3,,,,,2.9,,,,,10.2,,,,,2.0,,,,,7.4,,,,,3.6,,,,,-1.6,,,,,-6.5,,,,,7.6,,12.0
 10/2011,,,,,31.7,,,,,6.8,,,,,4.6,,,,,-4.9,,,,,-7.1,,,,,0.3,,,,,6.0,,,,,0.6,,,,,7.0,,,,,7.7,,,,,-2.7,,,,,-7.2,,,,,5.8,,11.4
 11/2011,,,,,31.3,,,,,-2.9,,,,,6.2,,,,,-7.2,,,,,-8.5,,,,,-1.2,,,,,2.8,,,,,0.4,,,,,6.2,,,,,1.1,,,,,-6.4,,,,,-7.9,,,,,4.7,,10.8
 12/2011,,,,,28.6,,,,,-0.4,,,,,7.1,,,,,-4.6,,,,,-7.4,,,,,-3.4,,,,,2.1,,,,,1.4,,,,,7.6,,,,,5.4,,,,,-6.4,,,,,-7.8,,,,,1.0,,9.6
 01/2012,,,,,29.1,,,,,-3.5,,,,,5.6,,,,,-3.0,,,,,-6.1,,,,,-0.8,,,,,3.2,,,,,5.3,,,,,8.0,,,,,5.6,,,,,-2.9,,,,,-3.0,,,,,2.4,,12.4
 02/2012,,,,,27.1,,,,,-0.4,,,,,5.4,,,,,-2.7,,,,,-4.6,,,,,-0.8,,,,,4.9,,,,,6.2,,,,,8.5,,,,,6.1,,,,,-3.5,,,,,-2.4,,,,,1.8,,11.9
 03/2012,,,,,26.5,,,,,-2.5,,,,,6.1,,,,,-5.3,,,,,-7.3,,,,,-3.9,,,,,6.4,,,,,1.2,,,,,8.8,,,,,7.4,,,,,-7.5,,,,,-1.0,,,,,0.5,,12.3
 04/2012,,,,,27.7,,,,,-1.6,,,,,5.4,,,,,-4.6,,,,,-7.1,,,,,-4.8,,,,,6.1,,,,,2.2,,,,,11.2,,,,,6.7,,,,,-6.9,,,,,0.5,,,,,2.6,,13.6
 05/2012,,,,,22.1,,,,,-4.7,,,,,5.6,,,,,-7.4,,,,,-12.7,,,,,-9.0,,,,,4.8,,,,,0.4,,,,,8.3,,,,,9.1,,,,,-10.6,,,,,-1.9,,,,,-1.2,,9.8
 06/2012,,,,,22.1,,,,,-6.0,,,,,5.8,,,,,-6.8,,,,,-14.3,,,,,-13.5,,,,,3.7,,,,,-1.3,,,,,2.5,,,,,3.5,,,,,-11.9,,,,,-11.8,,,,,-0.1,,4.4
 07/2012,,,,,14.4,,,,,-12.9,,,,,9.5,,,,,-16.4,,,,,-18.4,,,,,-15.8,,,,,-1.1,,,,,-9.4,,,,,1.8,,,,,3.5,,,,,-16.5,,,,,-16.9,,,,,-5.2,,-1.9
 08/2012,,,,,17.6,,,,,-9.9,,,,,9.8,,,,,-12.6,,,,,-14.6,,,,,-17.1,,,,,0.0,,,,,-8.1,,,,,2.8,,,,,-0.8,,,,,-19.3,,,,,-16.2,,,,,-6.0,,0.0
 09/2012,,,,,11.2,,,,,-17.3,,,,,10.0,,,,,-21.0,,,,,-20.9,,,,,-21.1,,,,,0.1,,,,,-11.9,,,,,1.4,,,,,-1.3,,,,,-21.6,,,,,-16.4,,,,,-7.2,,-3.1
 10/2012,,,,,6.6,,,,,-15.8,,,,,11.6,,,,,-18.8,,,,,-23.8,,,,,-26.7,,,,,0.1,,,,,-12.3,,,,,3.0,,,,,-3.2,,,,,-24.5,,,,,-16.1,,,,,-8.0,,-5.1
 11/2012,,,,,3.4,,,,,-12.6,,,,,6.2,,,,,-10.4,,,,,-11.3,,,,,-23.1,,,,,0.8,,,,,-7.5,,,,,2.3,,,,,2.1,,,,,-23.3,,,,,-14.8,,,,,-5.3,,-5.9
 12/2012,,,,,2.6,,,,,-12.4,,,,,8.1,,,,,-9.5,,,,,-10.5,,,,,-22.3,,,,,1.2,,,,,-4.4,,,,,4.6,,,,,5.5,,,,,-20.3,,,,,-7.7,,,,,-6.0,,-2.6
 01/2013,,,,,9.9,,,,,-4.9,,,,,5.6,,,,,-3.1,,,,,-8.5,,,,,-19.7,,,,,-0.7,,,,,0.3,,,,,5.9,,,,,5.5,,,,,-21.0,,,,,-3.1,,,,,-4.7,,3.3
 02/2013,,,,,9.7,,,,,-3.9,,,,,5.4,,,,,0.5,,,,,-3.8,,,,,-16.9,,,,,-0.2,,,,,3.0,,,,,4.5,,,,,11.1,,,,,-17.5,,,,,4.4,,,,,-4.4,,7.1
 03/2013,,,,,10.5,,,,,-3.1,,,,,7.2,,,,,-2.9,,,,,-7.9,,,,,-18.9,,,,,2.3,,,,,2.1,,,,,3.8,,,,,7.3,,,,,-18.5,,,,,3.9,,,,,-4.7,,7.1
 04/2013,,,,,5.5,,,,,-5.8,,,,,7.4,,,,,-4.5,,,,,-8.2,,,,,-21.9,,,,,-1.9,,,,,4.1,,,,,2.0,,,,,8.6,,,,,-20.0,,,,,-0.7,,,,,-7.5,,2.4
 05/2013,,,,,10.2,,,,,-2.7,,,,,6.6,,,,,3.3,,,,,0.3,,,,,-21.0,,,,,-2.3,,,,,0.3,,,,,0.3,,,,,5.0,,,,,-19.6,,,,,0.0,,,,,-5.2,,5.0
 06/2013,,,,,11.7,,,,,-1.1,,,,,6.9,,,,,3.9,,,,,-1.2,,,,,-15.5,,,,,-3.3,,,,,5.7,,,,,1.5,,,,,9.5,,,,,-17.0,,,,,4.3,,,,,-6.0,,8.0
 07/2013,,,,,12.7,,,,,0.9,,,,,7.4,,,,,3.7,,,,,-0.9,,,,,-17.8,,,,,-3.1,,,,,1.6,,,,,1.9,,,,,7.6,,,,,-17.4,,,,,4.2,,,,,-4.1,,8.4
 08/2013,,,,,16.6,,,,,2.8,,,,,3.8,,,,,10.8,,,,,4.1,,,,,-11.2,,,,,-0.1,,,,,8.1,,,,,3.7,,,,,11.3,,,,,-12.3,,,,,7.9,,,,,-2.8,,12.2
 09/2013,,,,,15.2,,,,,1.3,,,,,3.0,,,,,7.0,,,,,3.9,,,,,-12.1,,,,,2.1,,,,,8.1,,,,,4.4,,,,,11.7,,,,,-13.6,,,,,11.7,,,,,-2.1,,13.4
 10/2013,,,,,14.7,,,,,5.1,,,,,2.5,,,,,11.3,,,,,7.1,,,,,-10.6,,,,,2.1,,,,,13.7,,,,,4.1,,,,,12.8,,,,,-11.4,,,,,10.0,,,,,-0.9,,12.3
 11/2013,,,,,15.4,,,,,7.5,,,,,2.2,,,,,13.5,,,,,8.7,,,,,-8.1,,,,,-1.2,,,,,12.5,,,,,5.4,,,,,16.2,,,,,-7.3,,,,,15.2,,,,,-0.4,,15.3
 12/2013,,,,,15.5,,,,,7.1,,,,,2.0,,,,,12.2,,,,,7.9,,,,,-7.2,,,,,0.2,,,,,10.7,,,,,8.6,,,,,14.5,,,,,-8.2,,,,,16.4,,,,,1.1,,16.0
 01/2014,,,,,19.9,,,,,7.4,,,,,1.6,,,,,13.9,,,,,6.8,,,,,-8.6,,,,,1.3,,,,,10.3,,,,,7.9,,,,,15.5,,,,,-10.0,,,,,16.9,,,,,1.1,,18.4
 02/2014,,,,,22.1,,,,,8.5,,,,,1.4,,,,,13.8,,,,,7.2,,,,,-7.9,,,,,2.8,,,,,10.9,,,,,5.4,,,,,12.0,,,,,-8.6,,,,,16.2,,,,,0.5,,19.1
 03/2014,,,,,26.1,,,,,7.9,,,,,1.2,,,,,13.9,,,,,9.5,,,,,-6.9,,,,,1.2,,,,,11.1,,,,,4.8,,,,,12.3,,,,,-8.5,,,,,13.8,,,,,0.1,,19.9
 04/2014,,,,,25.0,,,,,8.7,,,,,1.4,,,,,11.1,,,,,4.0,,,,,-8.0,,,,,-0.9,,,,,9.0,,,,,3.9,,,,,12.6,,,,,-11.1,,,,,14.2,,,,,-1.5,,19.5
 05/2014,,,,,25.2,,,,,6.5,,,,,3.6,,,,,5.7,,,,,1.8,,,,,-7.0,,,,,-0.3,,,,,13.1,,,,,2.3,,,,,12.8,,,,,-9.6,,,,,11.9,,,,,-2.2,,18.4
 06/2014,,,,,22.1,,,,,2.3,,,,,2.9,,,,,3.1,,,,,-0.2,,,,,-8.6,,,,,-1.3,,,,,5.7,,,,,1.6,,,,,10.5,,,,,-10.1,,,,,9.3,,,,,-2.0,,15.6
 07/2014,,,,,20.3,,,,,2.9,,,,,4.4,,,,,3.9,,,,,0.2,,,,,-10.8,,,,,-2.0,,,,,6.6,,,,,1.9,,,,,7.7,,,,,-12.4,,,,,6.3,,,,,-3.1,,13.2
 08/2014,,,,,16.6,,,,,1.9,,,,,4.8,,,,,1.8,,,,,-1.8,,,,,-12.3,,,,,-1.1,,,,,2.2,,,,,2.7,,,,,6.3,,,,,-13.3,,,,,4.1,,,,,-4.6,,10.2
 09/2014,,,,,16.1,,,,,0.9,,,,,7.0,,,,,-1.1,,,,,-5.4,,,,,-14.0,,,,,-1.9,,,,,2.1,,,,,3.4,,,,,2.8,,,,,-15.6,,,,,-0.3,,,,,-3.1,,7.8
 10/2014,,,,,8.7,,,,,-3.0,,,,,7.4,,,,,-5.6,,,,,-6.0,,,,,-15.6,,,,,-2.9,,,,,0.7,,,,,3.1,,,,,5.8,,,,,-15.3,,,,,-4.9,,,,,-7.7,,1.8
 11/2014,,,,,11.4,,,,,-1.5,,,,,5.2,,,,,1.2,,,,,-3.4,,,,,-11.1,,,,,-3.2,,,,,2.5,,,,,1.4,,,,,6.2,,,,,-13.3,,,,,-3.8,,,,,-8.4,,3.7
 12/2014,27.0,58.0,15.0,12.0,12.8,10.0,73.0,15.0,-5.0,-0.1,10.0,61.0,4.0,6.0,5.0,14.0,65.0,21.0,-7.0,-1.8,14.0,62.0,24.0,-10.0,-3.8,9.0,68.0,23.0,-14.0,-11.1,4.0,86.0,10.0,-6.0,-3.8,11.0,70.0,17.0,-6.0,2.8,12.0,75.0,13.0,-1.0,-2.4,13.0,66.0,8.0,5.0,7.6,7.0,56.0,23.0,-16.0,-13.1,15.0,66.0,19.0,-4.0,1.5,9.0,75.0,16.0,-7.0,-2.8,3.8,7.1
 01/2015,28.0,58.0,14.0,14.0,16.0,10.0,73.0,15.0,-5.0,1.6,8.0,65.0,2.0,6.0,5.5,19.0,65.0,16.0,3.0,5.9,15.0,68.0,17.0,-2.0,1.1,9.0,70.0,21.0,-12.0,-9.6,10.0,80.0,10.0,0.0,-0.7,19.0,70.0,9.0,10.0,7.3,12.0,78.0,10.0,2.0,-1.1,18.0,63.0,6.0,12.0,9.5,7.0,59.0,20.0,-13.0,-12.1,18.0,70.0,12.0,6.0,2.8,11.0,77.0,12.0,-1.0,-1.1,10.0,9.3
 02/2015,29.0,56.0,15.0,14.0,15.1,14.0,71.0,13.0,1.0,0.5,9.0,63.0,3.0,6.0,5.3,20.0,66.0,14.0,6.0,-0.4,19.0,67.0,14.0,5.0,-1.0,13.0,65.0,22.0,-9.0,-8.9,12.0,78.0,10.0,2.0,-0.2,23.0,69.0,6.0,17.0,8.7,12.0,79.0,9.0,3.0,0.4,20.0,62.0,5.0,15.0,11.9,10.0,54.0,21.0,-11.0,-11.6,23.0,65.0,12.0,11.0,4.0,13.0,75.0,12.0,1.0,-0.7,12.5,9.5
